Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.05105E-4,35.776667787,0.41728091,0.057054443,0.296829971,0
4.08074E-4,36.021010016,0.419057446,0.056474229,0.296829971,0
4.09312E-4,36.266220272,0.419794943,0.055894014,0.30259366,0
4.11779E-4,36.512585583,0.421259064,0.055313799,0.30259366,0
4.19724E-4,36.762437384,0.425925351,0.054733585,0.305475504,0
4.20762E-4,37.014682731,0.426529232,0.05415337,0.305475504,0
4.27135E-4,37.268802484,0.430210314,0.053573155,0.305475504,0
4.29977E-4,37.525814348,0.431836676,0.052992941,0.308357349,0
4.33666E-4,37.784774384,0.433933926,0.052412726,0.317002882,0
4.35526E-4,38.002019332,0.434985687,0.051929214,0.322766571,0
4.43276E-4,38.266687007,0.439325576,0.051348999,0.325648415,0
4.48411E-4,38.534426802,0.442164407,0.050768784,0.331412104,0
4.52252E-4,38.759716357,0.444269159,0.050285272,0.331412104,0
4.55421E-4,39.032203267,0.445993894,0.049705058,0.331412104,0
4.58233E-4,39.260580373,0.44751508,0.049221545,0.334293948,0
4.63912E-4,39.537978915,0.450562622,0.048641331,0.340057637,0
4.73053E-4,39.772638207,0.455397561,0.048157818,0.342939481,0
4.76622E-4,40.009975082,0.457262537,0.047674306,0.342939481,0
4.81475E-4,40.250136581,0.459777748,0.047190794,0.345821326,0
4.84327E-4,40.540000579,0.461244745,0.046610579,0.34870317,0
4.86897E-4,40.782942386,0.462560185,0.046127067,0.351585014,0
4.92106E-4,41.027936441,0.465206736,0.045643555,0.354466859,0
4.98564E-4,41.275789223,0.468451721,0.045160043,0.354466859,0
5.02253E-4,41.52611509,0.470287842,0.04467653,0.360230548,0
5.05455E-4,41.778043911,0.471871518,0.044193018,0.365994236,0
5.11796E-4,42.03281217,0.474979052,0.043709506,0.365994236,0
5.16827E-4,42.29019072,0.477419284,0.043225994,0.374639769,0
5.30335E-4,42.551822327,0.483859569,0.042742481,0.377521614,0
5.34201E-4,42.764842247,0.485673929,0.042355672,0.377521614,0
